Name,DisplayName,PrimarySmtpAddress,Alias
Aduana,Aduana,1@MSDx028973.onmicrosoft.com,ar
Cadastro,Cadastro,2@MSDx028973.onmicrosoft.com,br
Diaria,Diaria,3@MSDx028973.onmicrosoft.com,cr
Diretoria,Diretoria,4@MSDx028973.onmicrosoft.com,dr
Documentacao,Documentacao,5@MSDx028973.onmicrosoft.com,er
Financeiro,Financeiro,financeiro@MSDx028973.onmicrosoft.com,financeiro
Matriz,Matriz,matriz@MSDx028973.onmicrosoft.com,matriz
Rh3,Rh3,rh@MSDx028973.onmicrosoft.com,rh
Transportes,Transportes,transportes@MSDx028973.onmicrosoft.com,transportes
Uruguaiana,Uruguaiana,uruguaiana@MSDx028973.onmicrosoft.com,uruguaiana
